ISO,GDP.2011,pop.2010,Country name,NOC,F.2012,M.2012,NOC SIZE,NOC.Size.Per.100K.pop,Gold,Silver,Bronze,Total,Bronze.Per.100K.pop,Silver.Per.100K.pop,Gold.Per.100K.pop,Total.Per.100K.pop,Bronze.Per.1BN.GDP,Silver.Per.1BN.GDP,Gold.Per.1BN.GDP,Total.Per.1BN.GDP,Bronze.Per.Athlete,Silver.Per.Athlete,Gold.Per.Athlete,Total.Per.Athlete,Bronze.pop,Silver.pop,Gold.pop,Total.pop,Bronze.GDP,Silver.GDP,Gold.GDP,Total.GDP,Bronze.Athlete,Silver.Athlete,Gold.Athlete,Total.Athlete,GDP rank score,Population rank score,Athlete rank score,Official medal ranking,GDP rank,Pop rank,Team size rank,,"Total medal score (gold=3, silver =2, bronze=1)",Model-based score,Model-based rank
AFG,"20,343,461,030.00","34,385,000",Afghanistan,AFG,1,5,6,0.017449469,0,0,1,1,0.002908245,0,0,0.002908245,0.049155844,0,0,0.049155844,0.166666667,0,0,0.166666667,0.4,0,0,0.4,5.53,0,0,5.53,17.72,0,0,17.72,5.53,0.4,17.72,79,45,82,39,,1,-0.725820661,107
ALB,"12,959,563,902.00","3,205,000",Albania,ALB,4,7,11,0.343213729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-1.173996803,125
DZA,"188,681,000,000.00","35,468,000",Algeria,ALG,18,21,39,0.109958272,1,0,0,1,0,0,0.002819443,0.002819443,0,0,0.005299951,0.005299951,0,0,0.025641026,0.025641026,0,0,0.3,0.3,0,0,0.54,0.54,0,0,4.23,4.23,1.62,0.9,12.69,58,68,78,58,,3,-5.829172595,169
ASM,"537,000,000.00","68,420",American Samoa,ASA,1,4,5,7.307804735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.104260267,56
AND,"3,491,000,000.00","84,864",Andorra,AND,2,4,6,7.070135747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.412897791,90
AGO,"100,990,000,000.00","19,082,000",Angola,ANG,30,5,35,0.183418929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-5.50592713,167
ATG,"1,128,708,617.00","88,000",Antigua and Barbuda,ANT,2,3,5,5.681818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.180709576,67
ARG,"445,989,000,000.00","40,412,000",Argentina,ARG,43,99,142,0.351380778,1,1,2,4,0.004949025,0.002474513,0.002474513,0.00989805,0.004484416,0.002242208,0.002242208,0.008968831,0.014084507,0.007042254,0.007042254,0.028169014,0.7,0.4,0.3,1.4,0.5,0.34,0.23,1.07,1.5,0.91,1.16,3.57,1.87,2.4,6.8,43,64,65,76,,7,-9.630903908,184
ARM,"10,247,788,877.00","3,092,000",Armenia,ARM,4,21,25,0.808538163,0,1,2,3,0.064683053,0.032341527,0,0.09702458,0.195164052,0.097582026,0,0.292746078,0.08,0.04,0,0.12,9.3,5.3,0,14.6,21.94,14.64,0,36.58,8.5,5.17,0,13.67,51.22,19.9,18.84,53,8,29,37,,4,3.01232648,30
ABW,"2,456,000,000.00","108,000",Aruba,ARU,1,3,4,3.703703704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-0.320914263,82
AUS,"1,371,760,000,000.00","22,299,000",Australia,AUS,188,225,413,1.852100991,7,16,12,35,0.053814072,0.071752097,0.031391542,0.156957711,0.008747886,0.011663848,0.005102933,0.025514667,0.02905569,0.03874092,0.016949153,0.084745763,7.7,11.9,3.7,23.3,0.98,1.75,0.52,3.25,3.09,5,2.8,10.89,6.04,42.6,21.49,8,44,11,31,,65,27.64116573,7
AUT,"418,484,000,000.00","8,390,000",Austria,AUT,31,39,70,0.834326579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,85,86,,0,-15.30563835,196
AZE,"63,403,650,746.00","9,054,000",Azerbaijan,AZE,14,39,53,0.585376629,2,2,6,10,0.066269052,0.022089684,0.022089684,0.110448421,0.094631775,0.031543925,0.031543925,0.157719625,0.113207547,0.037735849,0.037735849,0.188679245,9.5,3.7,2.6,15.8,10.64,4.73,3.19,18.56,12.03,4.87,6.23,23.13,29.67,24.7,40.46,27,15,23,11,,16,12.15201545,16
